"Target URL:","https://twitter.com/haoel","","","","","","","","","","",""
"Search Query:","from:haoel include:retweets include:nativeretweets","","","","","","","","","","",""
"Hao Chen","@haoel","","","","","","","","","","",""
"Tweet range:","<unspecified> (unknown) ~ 1109672197570727936 (2019/03/24 12:24:03)","","","","","","","","","","",""
"Image : on  /  GIF : on  /  Video : on  /  No media : on  /  include RTs : off","","","","","","","","","","","",""
"Tweet date","Action date","Display name","Username","Tweet URL","Media type","Media URL","Saved filename","Remarks","Tweet content","Replies","Retweets","Likes"
"2019/03/23 11:52:42","","Hao Chen","@haoel","https://twitter.com/haoel/status/1109301921494425600","No media","","","","有个90后向我推荐电影《波西米亚狂想曲》，我说，我比较意外你们会喜欢我们70后的这些东西，一直以为你们90后喜欢周杰伦。然后我说了些我喜欢的摇滚乐队Bon Jovi，Gun&amp;Rose，Aerosmith，Metallica、Nirvana、AC/DC…，他说，他觉得整个人类文明的光辉就闪烁在 70-80 年代……我瞬间感到没了代沟……",31,57,269
"2019/03/19 11:53:24","","Hao Chen","@haoel","https://twitter.com/haoel/status/1107852546616360961","No media","","","","【打造高效的工作环境 – Shell 篇】命令行和脚本是程序员提升工作效率是重要的手段，这篇文章除了介绍如何让你的命令行环境更高效，还介绍了一些的比原生的命令和shell更强的工具，可以让你的工作更有效率。  （注：本文由雷俊 @rayjun0412 和我一起编辑成文）https://coolshell.cn/articles/19219.html",5,32,106
"2019/03/17 14:37:17","","Hao Chen","@haoel","https://twitter.com/haoel/status/1107169013136683008","Image","https://pbs.twimg.com/media/D110V86VAAcZeYu?format=jpg&name=orig","haoel-1107169013136683008-20190317_143717-img1.jpg","","差点就买了…… https://t.co/DUtUZ1Fw6A",9,6,31
"2019/03/17 14:37:17","","Hao Chen","@haoel","https://twitter.com/haoel/status/1107169013136683008","Image","https://pbs.twimg.com/media/D110V8ZVYAArT2W?format=jpg&name=orig","haoel-1107169013136683008-20190317_143717-img2.jpg","","差点就买了…… https://t.co/DUtUZ1Fw6A",9,6,31
"2019/03/17 14:37:17","","Hao Chen","@haoel","https://twitter.com/haoel/status/1107169013136683008","Image","https://pbs.twimg.com/media/D110V8XU0AEuW8f?format=jpg&name=orig","haoel-1107169013136683008-20190317_143717-img3.jpg","","差点就买了…… https://t.co/DUtUZ1Fw6A",9,6,31
"2019/03/16 00:06:29","","Hao Chen","@haoel","https://twitter.com/haoel/status/1106587479677652993","No media","","","","@fanweixiao 计算机专业毕业","","",""
"2019/03/15 23:39:32","","Hao Chen","@haoel","https://twitter.com/haoel/status/1106580697664229376","Video","https://video.twimg.com/ext_tw_video/1106579993402851328/pu/vid/1280x720/f6BduhnpCvxtQ08I.mp4?tag=8","haoel-1106580697664229376-20190315_233932-vid1.mp4","","罗静，从程序员到家庭主妇再到登山家，从2011年起，历史7年，完成个人14座8000米山峰的攀登，中国第一位成功登顶K2（https://en.wikipedia.org/wiki/K2）女性。 ​​​今天有幸听了她的分享，很震撼！要了一段她登山的视频，分享一下…… https://t.co/fRxpKAg2Gc",3,28,85
"2019/03/15 10:52:24","","Hao Chen","@haoel","https://twitter.com/haoel/status/1106387645129609216","Image","https://pbs.twimg.com/media/D1qtsAnU4AERvxh?format=jpg&name=orig","haoel-1106387645129609216-20190315_105224-img1.jpg","","Bloomberg BusinessWeek 的这张海报…… The Apology Machine https://www.bloomberg.com/features/2019-facebook-neverending-crisis/ https://t.co/TxZwDuCpSg",2,5,15
"2019/03/15 00:37:49","","Hao Chen","@haoel","https://twitter.com/haoel/status/1106232979070685184","No media","","","","@xinzhehe 昨天电脑修回来的，明天就去退电脑（注意，修电脑和买电的是两个不同的苹果店）",1,"",""
"2019/03/13 23:37:54","","Hao Chen","@haoel","https://twitter.com/haoel/status/1105855512879423488","No media","","","","好多人都说魔术揭秘了就没意思了，为什么我却不是这样的。我看魔术师变魔术时感到毫无乐趣，因为我知道他在“骗”我，被人“骗”的感觉怎么可能有意思呢，看不透的魔术让我感到一种莫名的失落和沮丧，反而，我看到揭秘魔术时，感到很爽很开心，因为一个疑问得到了解答，不开心才怪。大家不是这样的么？",19,4,65
